isin,ticker,yahoo_symbol,status
IE000O6GI299,GIGA,GIGA.DE,suffix
IE0004ZJGWT9,XZEP,XZEP.DE,suffix
IE0003OZJ573,SEIU,SEIU.DE,suffix
IE000GYDNJS5,XCUD,XCUD.DE,suffix
IE00B1FZS913,IBCL,IBCL.DE,suffix
IE00BN4Q0933,AW13,AW13.DE,suffix
LU1650488494,LYQ3,LYQ3.DE,suffix
LU0659580079,XMK9,XMK9.DE,suffix
DE000ETFL060,EL4F,EL4F.DE,suffix
IE000MUAJIF4,ECMD,ECMD.DE,suffix
LU2572257124,AHYQ,AHYQ.DE,suffix
IE000VZ8BBU9,VITS,VITS.DE,suffix
LU3079566918,CHSZ,CHSZ.DE,suffix
IE00BYXYYK40,IS02,IS02.DE,suffix
IE000F37PGZ3,V3RF,V3RF.DE,suffix
IE000J80JTL1,GRID,GRID.DE,suffix
IE000APK27S2,AEGE,AEGE.DE,suffix
IE000PYIUPH0,CEMM,CEMM.DE,suffix
IE00BNTVVR89,ZSG0,ESGO.SW,isin_search
IE000DB78H45,EWSD,EWSD.DE,suffix
IE00070SLDT6,ZAPP,ZAPP.DE,suffix
LU2195226068,ZPAB,ZPAB.DE,suffix
LU3215530521,EEAJ,EEAJ.DE,suffix
IE000EFHIFG3,WELX,WELX.DE,suffix
LU0259322260,M9SD,M9SD.DE,suffix
IE000ENYES77,WELY,WELY.DE,suffix
DE0002635265,EXHE,EXHE.DE,suffix
IE00BK8JH525,SPFD,SPFD.DE,suffix
IE00BCBJG560,ZPRS,ZPRS.DE,suffix
LU2196470426,XNKY,XNKY.DE,suffix
IE00BYZTVT56,OM3F,OM3F.DE,suffix
LU2673523309,XB29,XB29.DE,suffix
IE0004L9EID2,CEB5,CEB5.DE,suffix
IE00B4L5YX21,EUNN,EUNN.DE,suffix
IE00BM97MR69,XT01,XT01.DE,suffix
IE00BF3N7219,IBC7,IBC7.DE,suffix
IE000AD2AYN2,IB36,IB36.DE,suffix
IE0005MWBFR7,JGIE,JGIE.DE,suffix
IE000JJQ6248,FUIG,FUIG.DE,suffix
IE000KCS7J59,H4Z3,H4Z3.DE,suffix
IE00BZ163G84,VECP,VECP.DE,suffix
IE00BJ5JPH63,3SUD,3SUD.DE,suffix
IE00B52MJD48,SXRZ,SXRZ.DE,suffix
DE0002635281,EXSG,EXSG.DE,suffix
IE00B5B5TG76,S6X0,S6X0.DE,suffix
BGCZPX003174,CZX,CZX.DE,suffix
LU2089239193,PRAS,PRAS.DE,suffix
IE000K9Z3SF5,C3AE,C3AE.DE,suffix
IE00B0M63623,IQQT,IQQT.DE,suffix
IE00077FRP95,UDIV,UDIV.DE,suffix
LU2823895763,BJLY,BJLY.DE,suffix
IE00B5MTY309,SC01,SC01.DE,suffix
IE00B52XQP83,IBC4,IBC4.DE,suffix
LU2098180271,FGZD,FGZD.DE,suffix
